Bathrooms,Bedrooms,Floor area,Furnishing,Parkings,Price,Swimming pool,Type,State,PostalCode
1,2,1000,0,1,25000000,1,0,1,00500
2,3,1220,0,1,25000000,1,0,0,00500
2,2,1000,0,1,24500000,1,0,1,00500
1,2,1000,0,1,24000000,1,0,1,00500
1,2,750,1,1,13000000,0,0,0,00500
2,3,1313,0,1,58000000,1,0,0,00600
2,2,1300,0,1,55000000,0,0,0,00600
2,3,1365,0,1,55000000,1,0,0,00600
3,5,2370,0,1,41000000,0,0,0,00600
2,2,1300,1,1,35000000,0,0,0,00600
3,4,1450,1,1,35000000,1,0,0,00600
3,3,1650,0,1,35000000,0,0,1,00600
2,3,1600,1,1,35000000,0,0,0,00600
2,3,1560,0,1,34500000,0,0,0,00600
2,3,1200,0,1,32000000,1,0,0,00600
3,3,1400,0,1,30000000,1,0,1,00600
2,3,1185,0,1,30000000,1,0,0,00600
4,3,1530,0,1,30000000,0,0,0,00600
2,3,1190,1,1,29000000,1,0,1,00600
3,3,1500,1,1,28000000,0,0,0,00600
2,2,1200,1,1,28000000,0,0,0,00600
2,2,1195,0,1,27500000,1,0,1,00600
2,3,1100,0,1,25000000,0,0,0,00600
2,3,1240,0,1,25000000,0,0,1,00600
3,3,1270,1,1,25000000,0,0,0,00600
2,2,1250,0,1,24000000,0,0,0,00600
2,3,1350,0,1,20000000,1,0,0,00600
2,2,820,0,1,17500000,0,0,1,00600
1,1,785,0,1,17000000,1,0,1,00600
3,3,2005,0,1,158000000,1,0,0,00700
2,3,3300,0,1,110000000,0,0,0,00700
2,2,1310,0,1,95000000,1,0,0,00700
2,2,1310,0,1,85000000,1,0,0,00700
2,2,1310,0,1,85000000,1,0,0,00700
3,3,1900,1,1,83000000,1,0,1,00700
2,2,850,1,1,80850000,1,0,0,00700
2,2,1000,1,1,75000000,1,0,0,00700
2,3,1500,0,1,73000000,1,0,1,00700
3,3,1744,0,1,69000000,0,0,0,00700
3,3,1800,0,1,69000000,1,0,1,00700
3,3,1300,0,1,67000000,1,0,1,00700
2,3,1300,1,1,65000000,1,0,1,00700
2,3,1571,0,1,60000000,0,0,1,00700
2,3,1800,1,1,60000000,0,0,0,00700
2,3,1850,0,1,57000000,1,0,0,00700
2,3,1655,0,1,56500000,1,0,0,00700
2,3,1655,0,1,56500000,1,0,0,00700
2,3,1556,1,1,55000000,1,0,0,00700
2,2,850,1,1,55000000,1,0,0,00700
2,3,1650,0,1,55000000,1,0,0,00700
3,3,1500,0,1,55000000,0,0,1,00700
2,3,1800,1,1,55000000,0,0,0,00700
2,3,1655,0,1,52000000,1,0,0,00700
2,3,1690,1,1,51000000,1,0,0,00700
2,3,1570,1,1,50000000,0,0,0,00700
2,3,1600,1,1,50000000,1,0,0,00700
2,3,1664,0,1,50000000,1,0,0,00700
2,3,1700,1,1,50000000,1,0,0,00700
3,3,1700,1,1,50000000,0,0,0,00700
3,3,1769,0,1,49000000,1,0,0,00700
2,3,1460,0,1,49000000,1,0,1,00700
3,3,2000,0,1,49000000,1,0,0,00700
2,3,1700,1,1,48000000,1,0,0,00700
3,3,1540,0,1,47000000,1,0,1,00700
3,3,1540,0,1,46500000,1,0,1,00700
2,3,1690,0,1,46000000,0,0,0,00700
2,2,1110,1,1,43000000,0,0,0,00700
2,2,1110,1,1,43000000,0,0,0,00700
